County,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm
Bee County,4.263659026,0.041660254,0.913172007
Wilson County,4.264234148,0.041660254,0.91672456
Bexar County,4.266970286,0.043860413,0.919241878
Kinney County,4.267026759,0.041660254,0.92444699
Nueces County,4.267615799,0.041660254,0.913559979
Cameron County,4.271289896,0.041660254,0.910581758
Kleberg County,4.271628874,0.041660254,0.912462883
Willacy County,4.273103419,0.041660254,0.911318231
Kenedy County,4.273357853,0.041660254,0.91229092
Uvalde County,4.275376517,0.041660254,0.922901964
Ector County,4.281039576,0.038959813,0.941398556
Hidalgo County,4.282127991,0.041660254,0.911220159
Jim Wells County,4.282379637,0.041660254,0.910230429
Live Oak County,4.282809057,0.041660254,0.912458076
Brooks County,4.284504651,0.041660254,0.909379338
Medina County,4.288867076,0.041660254,0.920262051
Cass County,4.289084738,0.043632017,0.9296479
Starr County,4.29181967,0.041660254,0.908201733
Jim Hogg County,4.29429905,0.041660254,0.909514183
Maverick County,4.294888104,0.041660254,0.92227605
Duval County,4.295130398,0.041660254,0.910997769
Atascosa County,4.296705549,0.041660254,0.916103228
Terrell County,4.29862152,0.038959813,0.936652722
Crane County,4.299092124,0.038959813,0.940277083
Zapata County,4.30092999,0.041660254,0.910168827
Zavala County,4.303074058,0.041660254,0.920770681
McMullen County,4.303703932,0.041660254,0.913327408
Webb County,4.304449221,0.041660254,0.913499032
Dimmit County,4.304476744,0.041660254,0.918249969
Winkler County,4.309689813,0.038959813,0.94246776
La Salle County,4.313038934,0.041660254,0.915324521
Red River County,4.314850805,0.043632017,0.932327949
Frio County,4.323860558,0.041660254,0.918313545
Hartley County,4.339737678,0.038959813,0.951515103
Pecos County,4.345318631,0.038959813,0.939923752
Ward County,4.347947893,0.038959813,0.942768048
Bowie County,4.351826731,0.043632017,0.931947656
Sherman County,4.356598209,0.038959813,0.948950458
Loving County,4.391098745,0.038959813,0.948314893
Dallam County,4.413387766,0.038959813,0.952102679
Culberson County,4.435595592,0.038959813,0.955274908
Reeves County,4.452689203,0.038959813,0.949898611
Brewster County,4.461789148,0.038959813,0.945128047
Hudspeth County,4.501663579,0.038959813,0.964790197
Jeff Davis County,4.507796114,0.038959813,0.952204161
Presidio County,4.532867098,0.038959813,0.952387981
El Paso County,4.656782291,0.038959813,0.971240332
Cochise County,4.178114587,0.041439585,0.929686553
DoÃƒÂ±a Ana County,4.178114587,0.041439585,0.929686553
La Paz County,4.178114587,0.041439585,0.929686553
Maricopa County,4.178114587,0.041439585,0.929686553
Pinal County,4.178114587,0.041439585,0.929686553
Riverside County,4.178114587,0.041439585,0.929686553
